"","Season","Name","Tm","Division","IP","TBF","ERA","H","2B","3B","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","wOBA","playerId","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","WHIP","BABIP","LOB%","FIP","xFIP"
"18",2019,"Tanner Roark","2 Tms","2 Tms",165.1,722,4.3548,180,36,3,84,80,28,51,1,13,158,0.27480916,0.338418862,0.467175572,0.340034233,8753,8.6008,2.7762,3.098,1.5242,0.2188,0.0706,0.1482,1.3972,0.322,0.7813,4.66562267070801,4.64170894480187
"19",2019,"Andrew Cashner","2 Tms","2 Tms",150,636,4.68,144,27,5,84,78,19,58,0,4,108,0.252631578,0.324409448,0.417543859,0.316746605,8782,6.48,3.48,1.8621,1.14,0.1698,0.0912,0.0786,1.3467,0.2796,0.68,4.66067614170801,5.10930633803209
"20",2019,"Jared Hughes","2 Tms","2 Tms",71.1,289,4.0374,57,12,0,37,32,13,27,1,2,54,0.223529411,0.301754385,0.423529411,0.306435348,9325,6.8131,3.4065,2,1.6402,0.1869,0.0934,0.0934,1.1776,0.228,0.7227,5.28877679970801,4.17449027062281
"21",2019,"Sergio Romo","2 Tms","2 Tms",60.1,249,3.4309,50,11,1,27,23,7,17,3,2,60,0.221238938,0.277108433,0.371681415,0.270526818,9817,8.9503,2.5359,3.5294,1.0442,0.241,0.0683,0.1727,1.1105,0.2638,0.7095,3.67809735970801,4.67554897171596
"22",2019,"Mike Leake","2 Tms","2 Tms",197,835,4.2944,227,45,3,114,94,41,27,2,10,127,0.286254728,0.31692677,0.505674653,0.340931064,10130,5.802,1.2335,4.7037,1.8731,0.1521,0.0323,0.1198,1.2893,0.2952,0.726,5.19370490670801,4.76005680281196
"23",2019,"Shane Greene","2 Tms","2 Tms",62.2,252,2.2979,46,7,0,22,16,8,17,1,3,64,0.2,0.262948207,0.334782608,0.25677308,10756,9.1915,2.4415,3.7647,1.1489,0.254,0.0675,0.1865,1.0053,0.2375,0.8029,3.78847725470801,3.96997621966114
"24",2019,"Adam Kolarek","2 Tms","2 Tms",55,229,3.2727,48,8,1,22,20,7,16,4,3,45,0.228571428,0.292576419,0.376190476,0.280479263,10843,7.3636,2.6182,2.8125,1.1455,0.1965,0.0699,0.1266,1.1636,0.2595,0.7867,4.26855492970801,3.7351982455362
"25",2019,"Drew Pomeranz","2 Tms","2 Tms",104,455,4.8462,105,14,3,58,56,21,44,0,4,137,0.260545905,0.337748344,0.46650124,0.339656611,11426,11.8558,3.8077,3.1136,1.8173,0.3011,0.0967,0.2044,1.4327,0.3373,0.7686,4.58900947570801,3.87670743912458
"26",2019,"Aaron Sanchez","2 Tms","2 Tms",131.1,605,5.8934,145,29,2,92,86,20,68,2,11,115,0.27831094,0.370860927,0.456813819,0.352734958,11490,7.8807,4.6599,1.6912,1.3706,0.1901,0.1124,0.0777,1.6218,0.3197,0.6735,5.24700336670801,5.1454414599725
"27",2019,"Nick Kingham","2 Tms","2 Tms",55.2,259,7.2754,78,22,2,45,45,11,25,1,0,46,0.340611353,0.405511811,0.598253275,0.415493798,11694,7.4371,4.0419,1.84,1.7784,0.1776,0.0965,0.0811,1.8503,0.3785,0.6621,5.47748117370801,5.33854712519721
"28",2019,"Sam Dyson","2 Tms","2 Tms",62.1,249,3.3209,53,9,1,26,23,6,13,0,3,55,0.230434782,0.280487804,0.356521739,0.274078513,11710,7.9412,1.877,4.2308,0.8663,0.2209,0.0522,0.1687,1.0588,0.2733,0.7096,3.47069410470801,3.75115226028311
"29",2019,"Drew Smyly","2 Tms","2 Tms",114,514,6.2368,126,23,4,83,79,32,55,0,2,120,0.278145695,0.357421875,0.558498896,0.378580394,11760,9.4737,4.3421,2.1818,2.5263,0.2335,0.107,0.1265,1.5877,0.3082,0.7236,6.25786912470801,5.20867330387496
"30",2019,"Chris Martin","2 Tms","2 Tms",55.2,216,3.3952,52,7,0,23,21,9,5,0,0,65,0.248803827,0.263888888,0.411483253,0.281157017,11847,10.509,0.8084,13,1.4551,0.3009,0.0231,0.2778,1.024,0.3139,0.7658,3.24993759770801,2.72044795339651
"31",2019,"Aaron Brooks","2 Tms","2 Tms",110,482,5.6455,118,26,4,72,69,21,34,0,10,82,0.270642201,0.336798336,0.493119266,0.348036963,12272,6.7091,2.7818,2.4118,1.7182,0.1701,0.0705,0.0996,1.3818,0.2896,0.6787,5.40491856570801,5.34631482281468
"32",2019,"Roenis Elias","2 Tms","2 Tms",50,216,3.96,46,7,0,32,22,10,18,1,1,47,0.235897435,0.302325581,0.425641025,0.306471855,12673,8.46,3.24,2.6111,1.8,0.2176,0.0833,0.1343,1.28,0.2571,0.6471,5.07400947570801,4.78148829877377
"33",2019,"Trevor Bauer","2 Tms","2 Tms",213,911,4.4789,184,43,7,118,106,34,82,0,19,253,0.23,0.314569536,0.42875,0.315887966,12703,10.6901,3.4648,3.0854,1.4366,0.2777,0.09,0.1877,1.2488,0.2868,0.7035,4.33607520270801,4.33421466722735
"34",2019,"Matt Wisler","2 Tms","2 Tms",51.1,224,5.6104,56,13,1,34,32,10,16,0,0,63,0.27184466,0.322869955,0.490291262,0.339073081,12804,11.0455,2.8052,3.9375,1.7532,0.2813,0.0714,0.2098,1.4026,0.3407,0.6552,4.22699714570801,3.82582136988641
"35",2019,"Shawn Armstrong","2 Tms","2 Tms",58,271,5.7414,66,13,1,38,37,8,29,1,4,63,0.282051282,0.366666666,0.448717948,0.346951697,12857,9.7759,4.5,2.1724,1.2414,0.2325,0.107,0.1255,1.6379,0.3473,0.6948,4.54159568170801,5.42363117902443
"36",2019,"Joe Biagini","2 Tms","2 Tms",64.2,281,4.5928,71,15,1,35,33,14,26,3,1,60,0.280632411,0.35,0.513833992,0.358059785,13194,8.3505,3.6186,2.3077,1.9485,0.2135,0.0925,0.121,1.5,0.3167,0.8036,5.42534854170801,4.17972289512813
"37",2019,"Marcus Stroman","2 Tms","2 Tms",184.1,774,3.2224,183,32,2,77,66,18,58,1,1,159,0.257383966,0.313471502,0.383966244,0.299465717,13431,7.7631,2.8318,2.7414,0.8788,0.2054,0.0749,0.1305,1.3074,0.3067,0.7611,3.71853008870801,3.992253901945
